,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_force_row_wise,params_learning_rate,params_max_depth,params_n_estimators,params_n_jobs,params_num_leaves,params_random_state,params_reg_alpha,params_reg_lambda,params_subsample,state
28,28,6.328297137358683,2023-12-20 16:20:59.328640,2023-12-20 16:21:13.065203,0 days 00:00:13.736563,gbdt,0.8,True,0.25,400,8,-1,80,42,0.65,0.65,0.3,COMPLETE
29,29,6.33301198250417,2023-12-20 16:21:13.066719,2023-12-20 16:21:26.052334,0 days 00:00:12.985615,gbdt,0.8,True,0.7000000000000001,600,12,-1,32,42,0.7000000000000001,0.35000000000000003,0.5,COMPLETE
30,30,6.347190532670585,2023-12-20 16:21:26.053978,2023-12-20 16:21:51.371908,0 days 00:00:25.317930,gbdt,0.7000000000000001,True,0.05,200,16,-1,128,42,0.8500000000000001,0.1,0.4,COMPLETE
31,31,6.327895937516754,2023-12-20 16:21:51.373468,2023-12-20 16:22:12.377677,0 days 00:00:21.004209,dart,0.9,True,0.35000000000000003,400,12,-1,112,42,0.8,0.55,0.5,COMPLETE
32,32,6.328398772583311,2023-12-20 16:22:12.379468,2023-12-20 16:22:31.533875,0 days 00:00:19.154407,dart,1.0,True,0.25,400,12,-1,112,42,0.7000000000000001,0.55,0.5,COMPLETE
33,33,6.327784533306645,2023-12-20 16:22:31.535248,2023-12-20 16:22:59.915955,0 days 00:00:28.380707,dart,0.9,True,0.35000000000000003,400,16,-1,96,42,0.8,0.5,0.4,COMPLETE
34,34,6.329831362867667,2023-12-20 16:22:59.918062,2023-12-20 16:23:31.191469,0 days 00:00:31.273407,dart,0.8,True,0.45,600,20,-1,96,42,0.9500000000000001,0.4,0.4,COMPLETE
35,35,6.3268813397281125,2023-12-20 16:23:31.193409,2023-12-20 16:24:01.757373,0 days 00:00:30.563964,dart,0.9,True,0.2,300,16,-1,80,42,0.4,0.5,0.3,COMPLETE
36,36,6.327453135046375,2023-12-20 16:24:01.758865,2023-12-20 16:24:27.162775,0 days 00:00:25.403910,dart,0.8,True,0.2,200,16,-1,48,42,0.35000000000000003,0.4,0.3,COMPLETE
37,37,6.33269225594685,2023-12-20 16:24:27.165369,2023-12-20 16:24:50.910887,0 days 00:00:23.745518,dart,0.7000000000000001,True,0.15000000000000002,200,16,-1,32,42,0.35000000000000003,0.2,0.3,COMPLETE
38,38,6.327183548687435,2023-12-20 16:24:50.912758,2023-12-20 16:25:24.820377,0 days 00:00:33.907619,dart,0.8,True,0.2,200,20,-1,48,42,0.4,0.4,0.3,COMPLETE
39,39,6.327184827006994,2023-12-20 16:25:24.822400,2023-12-20 16:25:58.414345,0 days 00:00:33.591945,dart,0.8,True,0.2,200,20,-1,48,42,0.35000000000000003,0.30000000000000004,0.3,COMPLETE
40,40,6.337197099088352,2023-12-20 16:25:58.416143,2023-12-20 16:26:33.232196,0 days 00:00:34.816053,dart,0.7000000000000001,True,0.1,200,20,-1,48,42,0.2,0.30000000000000004,0.3,COMPLETE
41,41,6.3271835753959405,2023-12-20 16:26:33.234567,2023-12-20 16:27:07.059243,0 days 00:00:33.824676,dart,0.8,True,0.2,200,20,-1,48,42,0.35000000000000003,0.4,0.3,COMPLETE
42,42,6.326961459512247,2023-12-20 16:27:07.060799,2023-12-20 16:27:42.961078,0 days 00:00:35.900279,dart,0.8,True,0.2,200,20,-1,64,42,0.45,0.25,0.3,COMPLETE
43,43,6.330443688524786,2023-12-20 16:27:42.962598,2023-12-20 16:28:19.131390,0 days 00:00:36.168792,dart,0.7000000000000001,True,0.15000000000000002,200,20,-1,64,42,0.45,0.2,0.3,COMPLETE
44,44,6.3517030562874695,2023-12-20 16:28:19.133207,2023-12-20 16:28:56.393321,0 days 00:00:37.260114,dart,0.8,True,0.05,200,20,-1,64,42,0.25,0.45,0.8,COMPLETE
45,45,6.336468800319608,2023-12-20 16:28:56.395030,2023-12-20 16:29:28.664652,0 days 00:00:32.269622,dart,0.8,True,0.1,300,20,-1,32,42,0.4,0.35000000000000003,0.3,COMPLETE
46,46,6.33102027768209,2023-12-20 16:29:28.666386,2023-12-20 16:30:03.044779,0 days 00:00:34.378393,dart,0.6000000000000001,True,0.25,200,20,-1,64,42,0.5,0.15000000000000002,0.3,COMPLETE
47,47,6.337156254083926,2023-12-20 16:30:03.046601,2023-12-20 16:30:28.631945,0 days 00:00:25.585344,dart,0.7000000000000001,True,1.0,300,20,-1,32,42,0.25,0.25,0.7,COMPLETE
48,48,6.335212813860773,2023-12-20 16:30:28.633619,2023-12-20 16:30:48.789829,0 days 00:00:20.156210,dart,0.5,True,0.2,200,16,-1,16,42,0.45,0.4,0.3,COMPLETE
49,49,6.335268382229551,2023-12-20 16:30:48.792247,2023-12-20 16:31:24.261437,0 days 00:00:35.469190,dart,0.8,True,0.1,300,20,-1,48,42,0.4,0.45,0.4,COMPLETE
